"Round32","Time: 19:29:53","NumberOfPlayers: 11533","TotalBet: 179570.53","TotalWinning: 408539.36","OnCash: 6.4"
"Round33","Time: 19:30:23","NumberOfPlayers: 11128","TotalBet: 174655.96","TotalWinning: 37017.45","OnCash: 1.82"
"Round34","Time: 19:30:45","NumberOfPlayers: 9469","TotalBet: 150950.53","TotalWinning: 260293.1","OnCash: 4.32"
"Round35","Time: 19:31:12","NumberOfPlayers: 11536","TotalBet: 183357.36","TotalWinning: 362832.78","OnCash: 4.75"
"Round36","Time: 19:31:40","NumberOfPlayers: 11585","TotalBet: 173388.25","TotalWinning: 311504.7","OnCash: 3.99"
"Round37","Time: 19:32:06","NumberOfPlayers: 11752","TotalBet: 192300.18","TotalWinning: 8133.35","OnCash: 1.21"
"Round38","Time: 19:32:25","NumberOfPlayers: 9161","TotalBet: 135761.32","TotalWinning: 16806.34","OnCash: 1.48"
"Round39","Time: 19:32:45","NumberOfPlayers: 9222","TotalBet: 148711.09","TotalWinning: 10641.47","OnCash: 1.37"
"Round40","Time: 19:33:04","NumberOfPlayers: 9531","TotalBet: 154878.34","TotalWinning: 21519.19","OnCash: 1.51"
"Round41","Time: 19:33:24","NumberOfPlayers: 9949","TotalBet: 190505.31","TotalWinning: 512692.03","OnCash: 10.25"
"Round42","Time: 19:33:59","NumberOfPlayers: 0","TotalBet: 200097.67","TotalWinning: 0","OnCash: 1.07"
"Round43","Time: 19:34:16","NumberOfPlayers: 10309","TotalBet: 170437.27","TotalWinning: 26734.8","OnCash: 1.6"
"Round44","Time: 19:34:37","NumberOfPlayers: 10595","TotalBet: 197047.60","TotalWinning: 196007.35","OnCash: 2.57"
"Round45","Time: 19:35:01","NumberOfPlayers: 11954","TotalBet: 212734.48","TotalWinning: 359999.78","OnCash: 3.59"
"Round46","Time: 19:35:27","NumberOfPlayers: 11885","TotalBet: 200617.38","TotalWinning: 234419.03","OnCash: 3.19"
"Round47","Time: 19:37:33","NumberOfPlayers: 11701","TotalBet: 198292.11","TotalWinning: 213762.96","OnCash: 2.8"
"Round48","Time: 19:37:57","NumberOfPlayers: 11701","TotalBet: 223225.93","TotalWinning: 243805.14","OnCash: 1.04"
"Round49","Time: 19:38:14","NumberOfPlayers: 10578","TotalBet: 186289.31","TotalWinning: 45965.96","OnCash: 1.81"
"Round50","Time: 19:38:36","NumberOfPlayers: 11397","TotalBet: 216094.52","TotalWinning: 41074.07","OnCash: 1.6"
"Round51","Time: 19:38:57","NumberOfPlayers: 10993","TotalBet: 201949.75","TotalWinning: 79733.64","OnCash: 1.94"
"Round52","Time: 19:39:18","NumberOfPlayers: 11643","TotalBet: 234109.67","TotalWinning: 260044.16","OnCash: 2.85"
"Round53","Time: 19:39:42","NumberOfPlayers: 12268","TotalBet: 228197.70","TotalWinning: 694511.12","OnCash: 15.21"
"Round54","Time: 19:40:22","NumberOfPlayers: 11825","TotalBet: 183067.69","TotalWinning: 7969.04","OnCash: 1.31"
"Round55","Time: 19:40:41","NumberOfPlayers: 10014","TotalBet: 166338.54","TotalWinning: 262700.05","OnCash: 3.54"
"Round56","Time: 19:41:07","NumberOfPlayers: 11519","TotalBet: 189789.29","TotalWinning: 205604.02","OnCash: 2.52"
"Round57","Time: 19:41:30","NumberOfPlayers: 11247","TotalBet: 188749.08","TotalWinning: 23161.12","OnCash: 1.58"
"Round58","Time: 19:41:51","NumberOfPlayers: 10491","TotalBet: 163769.55","TotalWinning: 483125.32","OnCash: 14.01"
"Round59","Time: 19:42:29","NumberOfPlayers: 11628","TotalBet: 204334.11","TotalWinning: 19883.36","OnCash: 1.43"
"Round60","Time: 19:42:49","NumberOfPlayers: 10525","TotalBet: 194639.65","TotalWinning: 445845.49","OnCash: 6.65"
"Round61","Time: 19:43:20","NumberOfPlayers: 11733","TotalBet: 185359.19","TotalWinning: 290067.24","OnCash: 3.51"
"Round62","Time: 19:43:46","NumberOfPlayers: 11493","TotalBet: 199604.92","TotalWinning: 43520.5","OnCash: 1.86"
"Round63","Time: 19:44:07","NumberOfPlayers: 11043","TotalBet: 186772.30","TotalWinning: 44661.67","OnCash: 1.77"
"Round64","Time: 19:44:28","NumberOfPlayers: 11082","TotalBet: 213721.30","TotalWinning: 48969.65","OnCash: 1.64"
"Round65","Time: 19:44:49","NumberOfPlayers: 11285","TotalBet: 204501.83","TotalWinning: 18186.78","OnCash: 1.47"
"Round66","Time: 19:45:09","NumberOfPlayers: 10841","TotalBet: 207934.95","TotalWinning: 105520.44","OnCash: 2.36"
"Round67","Time: 19:45:33","NumberOfPlayers: 12306","TotalBet: 235312.82","TotalWinning: 7631.62","OnCash: 1.3"
"Round68","Time: 19:45:52","NumberOfPlayers: 10919","TotalBet: 211743.76","TotalWinning: 208158.81","OnCash: 2.89"
"Round69","Time: 19:46:16","NumberOfPlayers: 10919","TotalBet: 214235.00","TotalWinning: 258559.58","OnCash: 1.06"
"Round70","Time: 19:46:33","NumberOfPlayers: 10754","TotalBet: 191849.14","TotalWinning: 171545.1","OnCash: 2.6"
"Round71","Time: 19:46:57","NumberOfPlayers: 11400","TotalBet: 209518.59","TotalWinning: 135113.94","OnCash: 2.29"
"Round72","Time: 19:47:20","NumberOfPlayers: 11250","TotalBet: 200361.68","TotalWinning: 61656.78","OnCash: 1.62"
"Round73","Time: 19:47:40","NumberOfPlayers: 10444","TotalBet: 187363.28","TotalWinning: 25082.71","OnCash: 1.43"
"Round74","Time: 19:48:00","NumberOfPlayers: 9635","TotalBet: 197765.90","TotalWinning: 115308.69","OnCash: 2.33"
"Round75","Time: 19:48:23","NumberOfPlayers: 9635","TotalBet: 216729.23","TotalWinning: 158269.85","OnCash: 1.12"
"Round76","Time: 19:48:41","NumberOfPlayers: 9466","TotalBet: 183296.96","TotalWinning: 29299.28","OnCash: 1.39"
"Round77","Time: 19:49:00","NumberOfPlayers: 8660","TotalBet: 176102.08","TotalWinning: 535873.74","OnCash: 26.82"
"Round78","Time: 19:49:48","NumberOfPlayers: 10450","TotalBet: 182755.86","TotalWinning: 38537.82","OnCash: 1.52"
"Round79","Time: 19:50:08","NumberOfPlayers: 10450","TotalBet: 165480.68","TotalWinning: 56115.49","OnCash: 1"
"Round80","Time: 19:50:24","NumberOfPlayers: 8931","TotalBet: 168370.48","TotalWinning: 226357.04","OnCash: 3.21"
"Round81","Time: 19:50:49","NumberOfPlayers: 10030","TotalBet: 172823.65","TotalWinning: 4199.86","OnCash: 1.09"
"Round82","Time: 19:51:06","NumberOfPlayers: 8766","TotalBet: 148945.36","TotalWinning: 200533.49","OnCash: 3.32"
"Round83","Time: 19:51:31","NumberOfPlayers: 9555","TotalBet: 158489.33","TotalWinning: 49107.29","OnCash: 1.79"
"Round84","Time: 19:51:52","NumberOfPlayers: 9555","TotalBet: 166868.28","TotalWinning: 71628.8","OnCash: 1.08"
"Round85","Time: 19:52:10","NumberOfPlayers: 8510","TotalBet: 149890.22","TotalWinning: 816.43","OnCash: 1.12"
"Round86","Time: 19:52:28","NumberOfPlayers: 7715","TotalBet: 142600.12","TotalWinning: 27842.11","OnCash: 1.76"
"Round87","Time: 19:52:49","NumberOfPlayers: 8371","TotalBet: 165111.64","TotalWinning: 267659.99","OnCash: 3.65"
"Round88","Time: 19:53:14","NumberOfPlayers: 9122","TotalBet: 164544.22","TotalWinning: 338254.2","OnCash: 7.22"
"Round89","Time: 19:53:46","NumberOfPlayers: 9314","TotalBet: 150258.71","TotalWinning: 184080.27","OnCash: 3.46"
"Round90","Time: 19:54:11","NumberOfPlayers: 8992","TotalBet: 146348.55","TotalWinning: 162084.88","OnCash: 2.68"
"Round91","Time: 19:54:35","NumberOfPlayers: 0","TotalBet: 156155.63","TotalWinning: 0","OnCash: 1"
"Round92","Time: 19:54:50","NumberOfPlayers: 8623","TotalBet: 150842.51","TotalWinning: 162469.82","OnCash: 3.36"
"Round93","Time: 19:55:16","NumberOfPlayers: 9707","TotalBet: 152942.94","TotalWinning: 8041.19","OnCash: 1.33"
"Round94","Time: 19:55:35","NumberOfPlayers: 8863","TotalBet: 140591.07","TotalWinning: 214742.22","OnCash: 3.58"
"Round95","Time: 19:56:01","NumberOfPlayers: 9579","TotalBet: 146203.53","TotalWinning: 141038.9","OnCash: 2.78"
"Round96","Time: 19:56:25","NumberOfPlayers: 9579","TotalBet: 156664.68","TotalWinning: 176551.57","OnCash: 1"
"Round97","Time: 19:56:41","NumberOfPlayers: 0","TotalBet: 151363.06","TotalWinning: 0","OnCash: 1.06"
"Round98","Time: 19:56:58","NumberOfPlayers: 9434","TotalBet: 143633.33","TotalWinning: 2142.61","OnCash: 1.03"
"Round99","Time: 19:57:14","NumberOfPlayers: 7767","TotalBet: 150050.68","TotalWinning: 488602.41","OnCash: 25.05"
"Round100","Time: 19:58:01","NumberOfPlayers: 9674","TotalBet: 154967.03","TotalWinning: 306186.03","OnCash: 5.71"
"Round101","Time: 19:58:30","NumberOfPlayers: 9170","TotalBet: 143943.24","TotalWinning: 341025.33","OnCash: 7.77"
"Round102","Time: 19:59:02","NumberOfPlayers: 9273","TotalBet: 138993.52","TotalWinning: 67608.53","OnCash: 2.34"
"Round103","Time: 19:59:26","NumberOfPlayers: 9273","TotalBet: 131033.73","TotalWinning: 99212.12","OnCash: 1.17"
"Round104","Time: 19:59:44","NumberOfPlayers: 8342","TotalBet: 109516.13","TotalWinning: 4265.67","OnCash: 1"
"Round105","Time: 19:59:59","NumberOfPlayers: 7916","TotalBet: 134576.60","TotalWinning: 436824.18","OnCash: 17.85"
"Round106","Time: 20:00:41","NumberOfPlayers: 10255","TotalBet: 174349.67","TotalWinning: 7144.3","OnCash: 1.24"
"Round107","Time: 20:00:59","NumberOfPlayers: 8455","TotalBet: 140199.52","TotalWinning: 470732.85","OnCash: 27.4"
"Round108","Time: 20:01:47","NumberOfPlayers: 9692","TotalBet: 154715.96","TotalWinning: 19823.97","OnCash: 1.55"
"Round109","Time: 20:02:08","NumberOfPlayers: 8923","TotalBet: 153960.49","TotalWinning: 244512.85","OnCash: 3.73"
"Round110","Time: 20:02:34","NumberOfPlayers: 9893","TotalBet: 166051.77","TotalWinning: 476854.04","OnCash: 26.3"
"Round111","Time: 20:03:21","NumberOfPlayers: 9800","TotalBet: 151080.71","TotalWinning: 14674.34","OnCash: 1.41"
"Round112","Time: 20:03:41","NumberOfPlayers: 8881","TotalBet: 142215.92","TotalWinning: 49533.13","OnCash: 1.92"
"Round113","Time: 20:04:02","NumberOfPlayers: 0","TotalBet: 162340.37","TotalWinning: 0","OnCash: 1.37"
"Round114","Time: 20:04:22","NumberOfPlayers: 9467","TotalBet: 157064.78","TotalWinning: 2568.46","OnCash: 1.1"
"Round115","Time: 20:04:39","NumberOfPlayers: 8887","TotalBet: 143088.58","TotalWinning: 226024.07","OnCash: 4.26"
"Round116","Time: 20:05:06","NumberOfPlayers: 10943","TotalBet: 176041.78","TotalWinning: 333196.27","OnCash: 4.17"
"Round117","Time: 20:05:33","NumberOfPlayers: 10801","TotalBet: 158771.98","TotalWinning: 2160.7","OnCash: 1.14"
"Round118","Time: 20:05:51","NumberOfPlayers: 9225","TotalBet: 141217.09","TotalWinning: 74083.28","OnCash: 2.41"
"Round119","Time: 20:06:14","NumberOfPlayers: 10664","TotalBet: 176776.64","TotalWinning: 502793.36","OnCash: 23.59"
"Round120","Time: 20:07:00","NumberOfPlayers: 10614","TotalBet: 163740.40","TotalWinning: 15313.47","OnCash: 1.48"
"Round121","Time: 20:07:20","NumberOfPlayers: 10614","TotalBet: 151013.71","TotalWinning: 28033.79","OnCash: 1.05"
"Round122","Time: 20:07:37","NumberOfPlayers: 8780","TotalBet: 147166.02","TotalWinning: 293998.78","OnCash: 4.84"
"Round123","Time: 20:08:05","NumberOfPlayers: 11198","TotalBet: 187496.23","TotalWinning: 21929.62","OnCash: 1.39"
"Round124","Time: 20:08:24","NumberOfPlayers: 10096","TotalBet: 165992.73","TotalWinning: 216942.28","OnCash: 3.47"
"Round125","Time: 20:08:50","NumberOfPlayers: 10096","TotalBet: 174663.51","TotalWinning: 262405.29","OnCash: 1.16"
"Round126","Time: 20:09:08","NumberOfPlayers: 10015","TotalBet: 158569.04","TotalWinning: 86438.67","OnCash: 2.55"
"Round127","Time: 20:09:31","NumberOfPlayers: 10704","TotalBet: 182152.32","TotalWinning: 236556.8","OnCash: 3.3"
"Round128","Time: 20:09:56","NumberOfPlayers: 10704","TotalBet: 172061.25","TotalWinning: 267346.64","OnCash: 1"
"Round129","Time: 20:10:12","NumberOfPlayers: 10211","TotalBet: 161978.01","TotalWinning: 654291.51","OnCash: 23.41"
"Round130","Time: 20:10:58","NumberOfPlayers: 10408","TotalBet: 156357.19","TotalWinning: 86819.39","OnCash: 2.39"
"Round131","Time: 20:11:21","NumberOfPlayers: 9575","TotalBet: 158304.57","TotalWinning: 35129.96","OnCash: 1.85"
"Round132","Time: 20:11:42","NumberOfPlayers: 9138","TotalBet: 163836.29","TotalWinning: 2885.34","OnCash: 1.02"
"Round133","Time: 20:11:59","NumberOfPlayers: 9480","TotalBet: 168039.92","TotalWinning: 26926.46","OnCash: 1.63"
"Round134","Time: 20:12:19","NumberOfPlayers: 9480","TotalBet: 190243.20","TotalWinning: 30866.03","OnCash: 1.04"
"Round135","Time: 20:12:36","NumberOfPlayers: 9303","TotalBet: 180450.33","TotalWinning: 44248.08","OnCash: 1.85"
"Round136","Time: 20:12:58","NumberOfPlayers: 9607","TotalBet: 190661.22","TotalWinning: 70464.06","OnCash: 1.93"
"Round137","Time: 20:13:19","NumberOfPlayers: 9671","TotalBet: 207766.68","TotalWinning: 129148.87","OnCash: 2.55"
"Round138","Time: 20:13:43","NumberOfPlayers: 9671","TotalBet: 184274.13","TotalWinning: 224562.59","OnCash: 1"
"Round139","Time: 20:13:58","NumberOfPlayers: 9647","TotalBet: 208263.35","TotalWinning: 16665.13","OnCash: 1.58"
"Round140","Time: 20:14:19","NumberOfPlayers: 9647","TotalBet: 178656.67","TotalWinning: 25943.6","OnCash: 1.03"
"Round141","Time: 20:14:35","NumberOfPlayers: 8709","TotalBet: 155702.19","TotalWinning: 1058.87","OnCash: 1.28"
"Round142","Time: 20:14:54","NumberOfPlayers: 7037","TotalBet: 151623.95","TotalWinning: 462523.15","OnCash: 12.57"
"Round143","Time: 20:15:32","NumberOfPlayers: 8636","TotalBet: 146317.92","TotalWinning: 128653.85","OnCash: 2.53"
"Round144","Time: 20:15:55","NumberOfPlayers: 8070","TotalBet: 141768.25","TotalWinning: 441555.59","OnCash: 20.22"
"Round145","Time: 20:16:38","NumberOfPlayers: 0","TotalBet: 123366.45","TotalWinning: 0","OnCash: 1.07"
"Round146","Time: 20:16:56","NumberOfPlayers: 6815","TotalBet: 121372.81","TotalWinning: 359105.69","OnCash: 19.97"
"Round147","Time: 20:17:39","NumberOfPlayers: 8134","TotalBet: 125591.04","TotalWinning: 74482.59","OnCash: 2.49"
"Round148","Time: 20:18:02","NumberOfPlayers: 7777","TotalBet: 119827.74","TotalWinning: 186942","OnCash: 3.81"
"Round149","Time: 20:18:28","NumberOfPlayers: 8398","TotalBet: 127268.81","TotalWinning: 383069.22","OnCash: 21.88"
"Round150","Time: 20:19:12","NumberOfPlayers: 8321","TotalBet: 119957.31","TotalWinning: 1289.95","OnCash: 1.21"
"Round151","Time: 20:19:31","NumberOfPlayers: 7226","TotalBet: 114282.84","TotalWinning: 2413.5","OnCash: 1.08"
"Round152","Time: 20:19:48","NumberOfPlayers: 6982","TotalBet: 123526.32","TotalWinning: 273984.85","OnCash: 6.86"
"Round153","Time: 20:20:19","NumberOfPlayers: 9328","TotalBet: 154622.22","TotalWinning: 333649.29","OnCash: 7.52"
"Round154","Time: 20:20:51","NumberOfPlayers: 8734","TotalBet: 132808.56","TotalWinning: 116927.36","OnCash: 3.39"
"Round155","Time: 20:21:16","NumberOfPlayers: 8626","TotalBet: 142380.65","TotalWinning: 396113.1","OnCash: 17.16"
"Round156","Time: 20:21:57","NumberOfPlayers: 8658","TotalBet: 129282.64","TotalWinning: 15392.67","OnCash: 1.43"
"Round157","Time: 20:22:17","NumberOfPlayers: 7553","TotalBet: 119217.39","TotalWinning: 11774.05","OnCash: 1.21"
"Round158","Time: 20:22:35","NumberOfPlayers: 7369","TotalBet: 115619.76","TotalWinning: 15991.79","OnCash: 1.4"
"Round159","Time: 20:22:55","NumberOfPlayers: 7995","TotalBet: 143630.00","TotalWinning: 238040.81","OnCash: 4.55"
"Round160","Time: 20:23:22","NumberOfPlayers: 10183","TotalBet: 161346.64","TotalWinning: 58779.36","OnCash: 2.14"
"Round161","Time: 20:23:45","NumberOfPlayers: 9538","TotalBet: 151982.70","TotalWinning: 14005.39","OnCash: 1.5"
"Round162","Time: 20:24:05","NumberOfPlayers: 8898","TotalBet: 155635.72","TotalWinning: 430341.03","OnCash: 10.83"
"Round163","Time: 20:24:40","NumberOfPlayers: 9983","TotalBet: 150278.08","TotalWinning: 72238.16","OnCash: 2.43"
"Round164","Time: 20:25:03","NumberOfPlayers: 9983","TotalBet: 149584.27","TotalWinning: 121564.71","OnCash: 1.01"
"Round165","Time: 20:25:19","NumberOfPlayers: 8585","TotalBet: 138814.77","TotalWinning: 69234.32","OnCash: 2.54"
"Round166","Time: 20:25:43","NumberOfPlayers: 10243","TotalBet: 178065.00","TotalWinning: 427663.58","OnCash: 10.64"
"Round167","Time: 20:26:18","NumberOfPlayers: 9790","TotalBet: 148526.15","TotalWinning: 27787.07","OnCash: 1.7"
"Round168","Time: 20:26:39","NumberOfPlayers: 9015","TotalBet: 135031.81","TotalWinning: 221881.66","OnCash: 4.16"
"Round169","Time: 20:27:06","NumberOfPlayers: 10076","TotalBet: 160724.40","TotalWinning: 91983.31","OnCash: 2.38"
"Round170","Time: 20:27:29","NumberOfPlayers: 9830","TotalBet: 157073.03","TotalWinning: 19011.96","OnCash: 1.6"
"Round171","Time: 20:27:49","NumberOfPlayers: 9242","TotalBet: 155621.16","TotalWinning: 61031.78","OnCash: 2.05"
"Round172","Time: 20:28:11","NumberOfPlayers: 10304","TotalBet: 191360.75","TotalWinning: 91022.12","OnCash: 2.1"
"Round173","Time: 20:28:34","NumberOfPlayers: 10112","TotalBet: 187690.28","TotalWinning: 7513.51","OnCash: 1.25"
"Round174","Time: 20:28:53","NumberOfPlayers: 9159","TotalBet: 168528.44","TotalWinning: 176171.67","OnCash: 3.26"
"Round175","Time: 20:29:18","NumberOfPlayers: 10445","TotalBet: 196235.98","TotalWinning: 37700.79","OnCash: 1.8"
"Round176","Time: 20:29:39","NumberOfPlayers: 9772","TotalBet: 182324.83","TotalWinning: 265244.97","OnCash: 3.76"
"Round177","Time: 20:30:05","NumberOfPlayers: 0","TotalBet: 178491.77","TotalWinning: 0","OnCash: 1"
"Round178","Time: 20:30:20","NumberOfPlayers: 9679","TotalBet: 163221.79","TotalWinning: 230442.49","OnCash: 4.26"
"Round179","Time: 20:30:47","NumberOfPlayers: 10105","TotalBet: 179257.05","TotalWinning: 26004.72","OnCash: 1.59"
"Round180","Time: 20:31:08","NumberOfPlayers: 9689","TotalBet: 184232.36","TotalWinning: 3075.8","OnCash: 1.17"
"Round181","Time: 20:31:26","NumberOfPlayers: 8611","TotalBet: 156490.20","TotalWinning: 523972.75","OnCash: 16.79"
"Round182","Time: 20:32:06","NumberOfPlayers: 0","TotalBet: 157459.84","TotalWinning: 0","OnCash: 1"
"Round183","Time: 20:32:22","NumberOfPlayers: 9100","TotalBet: 168554.88","TotalWinning: 205591.53","OnCash: 3.13"
"Round184","Time: 20:32:47","NumberOfPlayers: 9353","TotalBet: 151879.06","TotalWinning: 14642.66","OnCash: 1.46"
"Round185","Time: 20:33:07","NumberOfPlayers: 9353","TotalBet: 162045.75","TotalWinning: 18858.96","OnCash: 1.09"
"Round186","Time: 20:33:24","NumberOfPlayers: 8416","TotalBet: 161512.73","TotalWinning: 343416.32","OnCash: 6.43"
"Round187","Time: 20:33:54","NumberOfPlayers: 9260","TotalBet: 161149.41","TotalWinning: 272072.52","OnCash: 3.97"
"Round188","Time: 20:34:21","NumberOfPlayers: 8966","TotalBet: 153466.59","TotalWinning: 160715.71","OnCash: 2.62"
"Round189","Time: 20:34:45","NumberOfPlayers: 8580","TotalBet: 129998.93","TotalWinning: 181682.27","OnCash: 3.25"
"Round190","Time: 20:35:10","NumberOfPlayers: 9137","TotalBet: 160747.88","TotalWinning: 15626.36","OnCash: 1.73"
"Round191","Time: 20:35:30","NumberOfPlayers: 8329","TotalBet: 156050.77","TotalWinning: 97969.26","OnCash: 2.24"
"Round192","Time: 20:35:53","NumberOfPlayers: 9272","TotalBet: 169397.95","TotalWinning: 183244.88","OnCash: 2.69"
"Round193","Time: 20:36:17","NumberOfPlayers: 9272","TotalBet: 158229.97","TotalWinning: 193069.9","OnCash: 1.08"
"Round194","Time: 20:36:34","NumberOfPlayers: 8562","TotalBet: 154787.66","TotalWinning: 1766.41","OnCash: 1.1"
"Round195","Time: 20:36:52","NumberOfPlayers: 0","TotalBet: 151559.49","TotalWinning: 0","OnCash: 1.01"
"Round196","Time: 20:37:08","NumberOfPlayers: 8174","TotalBet: 154576.56","TotalWinning: 5357.01","OnCash: 1.25"
"Round197","Time: 20:37:26","NumberOfPlayers: 8174","TotalBet: 144625.53","TotalWinning: 9653.58","OnCash: 1.11"
"Round198","Time: 20:37:44","NumberOfPlayers: 6929","TotalBet: 138887.56","TotalWinning: 10211.95","OnCash: 1.55"
"Round199","Time: 20:38:04","NumberOfPlayers: 7305","TotalBet: 157844.28","TotalWinning: 39500.72","OnCash: 2.04"
"Round200","Time: 20:38:27","NumberOfPlayers: 7987","TotalBet: 184335.99","TotalWinning: 14534.6","OnCash: 1.51"
"Round201","Time: 20:38:47","NumberOfPlayers: 7987","TotalBet: 167030.09","TotalWinning: 31019","OnCash: 1.12"
"Round202","Time: 20:39:05","NumberOfPlayers: 6052","TotalBet: 135966.11","TotalWinning: 11072.43","OnCash: 1.48"
"Round203","Time: 20:39:25","NumberOfPlayers: 5948","TotalBet: 137978.96","TotalWinning: 31470.3","OnCash: 1.97"
"Round204","Time: 20:39:46","NumberOfPlayers: 0","TotalBet: 151104.73","TotalWinning: 0","OnCash: 1.13"
"Round205","Time: 20:40:04","NumberOfPlayers: 5432","TotalBet: 116437.46","TotalWinning: 387860.79","OnCash: 24.77"
"Round206","Time: 20:40:50","NumberOfPlayers: 7064","TotalBet: 124065.22","TotalWinning: 40569.04","OnCash: 2.19"
"Round207","Time: 20:41:13","NumberOfPlayers: 7064","TotalBet: 121864.45","TotalWinning: 74246.9","OnCash: 1.05"
"Round208","Time: 20:41:30","NumberOfPlayers: 5637","TotalBet: 120298.22","TotalWinning: 9936.64","OnCash: 1.43"
"Round209","Time: 20:41:50","NumberOfPlayers: 5500","TotalBet: 107520.44","TotalWinning: 51616.33","OnCash: 2.36"
"Round210","Time: 20:42:12","NumberOfPlayers: 5500","TotalBet: 112930.43","TotalWinning: 82738.6","OnCash: 1"
"Round211","Time: 20:42:28","NumberOfPlayers: 6044","TotalBet: 117456.03","TotalWinning: 238785.96","OnCash: 5.12"
"Round212","Time: 20:42:56","NumberOfPlayers: 6655","TotalBet: 111693.31","TotalWinning: 46322.17","OnCash: 2.29"
"Round213","Time: 20:43:19","NumberOfPlayers: 6263","TotalBet: 105919.37","TotalWinning: 1290.99","OnCash: 1.11"
"Round214","Time: 20:43:36","NumberOfPlayers: 5403","TotalBet: 87123.58","TotalWinning: 9148.94","OnCash: 1.48"
"Round215","Time: 20:43:56","NumberOfPlayers: 5403","TotalBet: 97098.07","TotalWinning: 11988.76","OnCash: 1.09"
"Round216","Time: 20:44:14","NumberOfPlayers: 5192","TotalBet: 101910.84","TotalWinning: 420.11","OnCash: 1.05"
